"","Country","Area","Waterbody.Type","Date","Ammonia..mg.l.","Biochemical.Oxygen.Demand..mg.l.","Dissolved.Oxygen..mg.l.","Orthophosphate..mg.l.","pH..ph.units.","Temperature..cel.","Nitrogen..mg.l.","Nitrate..mg.l.","CCME_Values","CCME_WQI"
"51","Ireland","Bandonllen, Abisdealy","Lake",2021-02-08,0.02,1.4,5.355,0.025,7.8,10.2,0.84,0.84,100,"Excellent"
"52","Ireland","Bandonllen, Abisdealy","Lake",2021-02-15,0.038,1.4,11.6841033830144,0.025,8.1,21.3,1.422,1.3,100,"Excellent"
"53","Ireland","Bandonllen, Abisdealy","Lake",2021-02-05,0.038,1.4,4.32,0.025,7.5,19.4,1.422,1.3,100,"Excellent"
"54","Ireland","Bandonllen, Abisdealy","Lake",2021-02-06,0.11,1.4,3.8655,0.01,7.7,14.6,1.422,1.3,100,"Excellent"
"55","Ireland","Bandonllen, Abisdealy","Lake",2022-02-07,0.038,1.4,5.238,0.025,7.6,11.9,1.2,1.2,100,"Excellent"
"56","Ireland","Bandonllen, Abisdealy","Lake",2022-02-21,0.02,1.4,4.3155,0.025,7.5,19.4,1.422,1.3,100,"Excellent"
"57","Ireland","Bandonllen, Abisdealy","Lake",2022-02-04,0.038,1.4,11.6841033830144,0.025,7.2,19,1.422,1.3,100,"Excellent"
"58","Ireland","Bandonllen, Abisdealy","Lake",2022-02-06,0.038,1.4,4.212,0.025,7.6,15.1,1.422,1.3,100,"Excellent"
"59","Ireland","Bandonllen, Abisdealy","Lake",2023-02-19,0.038,1.4,5.13,0.025,7.5,12,1.2,1.3,100,"Excellent"
"60","Ireland","Bandonllen, Abisdealy","Lake",2023-02-19,0.038,1.4,11.6841033830144,0.025,7.6,20.9,1.422,1.3,100,"Excellent"
"61","Ireland","Bandonllen, Abisdealy","Lake",2023-02-10,0.038,1.4,5.895,0.025,7.7,19.1,1.422,1.3,100,"Excellent"
"62","Ireland","Bandonllen, Abisdealy","Lake",2015-02-19,0.04155,1.4,8.8362857142,31,7.852380952,7.328571429,1.982857143,1.3,42.9540255285105,"Poor"
"63","Ireland","Bandonllen, Abisdealy","Lake",2015-02-08,0.04,1.2,11.6841033830144,0.01151,8.052631579,11.72631579,1.328636364,1.3,100,"Excellent"
"64","Ireland","Bandonllen, Abisdealy","Lake",2015-02-10,0.0321875,1.966666667,9.889000002,0.021954545,7.955555556,14.65555556,1.896555556,1.3,100,"Excellent"
"65","Ireland","Bandonllen, Abisdealy","Lake",2016-02-17,0.153611111,1.383333333,11.6841033830144,0.070444444,7.65,8.172222222,1.267777778,1.3,92.9346963070386,"Good"
"66","Ireland","Bandonllen, Abisdealy","Lake",2016-02-26,0.132043478,2.278571429,9.970434783,0.020394444,8.091304348,12.5173913,0.8492,1.3,100,"Excellent"
"67","Ireland","Bandonllen, Abisdealy","Lake",2016-02-28,0.120888889,1.763636364,9.261,0.02215,8.03,13.695,0.866230769,1.3,100,"Excellent"
"68","Ireland","Bandonllen, Abisdealy","Lake",2016-02-11,0.142894737,1.541176471,8.9415,0.024718182,8.08,14.955,0.591473684,1.3,100,"Excellent"
"69","Ireland","Bandonllen, Abisdealy","Lake",2018-02-22,0.050647059,1.4,8.7525,0.022705882,7.888235294,7.723529412,2.030588235,1.3,100,"Excellent"
"70","Ireland","Bandonllen, Abisdealy","Lake",2018-02-23,0.0245,4.133333333,11.6841033830144,0.012307692,8.075,13.75,1.025,1.3,100,"Excellent"
"71","Ireland","Bandonllen, Abisdealy","Lake",2018-02-17,0.032,2.433333333,8.9865,0.018181818,8.02,16.255,1.003636364,1.3,100,"Excellent"
"72","Ireland","Bandonllen, Abisdealy","Lake",2018-02-05,0.069157895,1.875,9.1665,0.021213333,7.985,14.085,1.130769231,1.3,100,"Excellent"
"73","Ireland","Bandonllen, Abisdealy","Lake",2019-02-21,0.056,1.8,11.6841033830144,0.039,7.8,11,1.422,1.3,100,"Excellent"
"74","Ireland","Bandonllen, Abisdealy","Lake",2019-02-27,0.073,1.4,11.6841033830144,0.039,7.8,10.1,1.422,1.3,100,"Excellent"
"75","Ireland","Bandonllen, Abisdealy","Lake",2019-02-06,0.038,1.6,4.9725,0.025,7.8,11.15,1.422,1.3,100,"Excellent"
"76","Ireland","Bandonllen, Abisdealy","Lake",2019-02-12,0.036,3.066666667,11.6841033830144,0.038,7.8,12.73333333,0.55,1.3,100,"Excellent"
"77","Ireland","Bandonllen, Abisdealy","Lake",2019-02-14,0.039333333,1,8.6609999997,0.054666667,7.8,15.73333333,1.422,1.3,93.1810873466056,"Good"
"78","Ireland","Bandonllen, Abisdealy","Lake",2019-02-09,0.052666667,1.766666667,11.6841033830144,0.061,7.8,12.13333333,1.422,1.3,93.1167254357972,"Good"
"79","Ireland","Bandonllen, Abisdealy","Lake",2020-02-05,0.0555,2.366666667,8.7180000003,0.033666667,7.8,7.766666667,1.422,1.3,100,"Excellent"
"80","Ireland","Bandonllen, Abisdealy","Lake",2020-02-26,0.031416667,2.033333333,9.18,0.021333333,7.891666667,14.20833333,1.922166667,1.3,100,"Excellent"
"81","Ireland","Bandonllen, Abisdealy","Lake",2020-02-17,0.016666667,2.133333333,9.267000003,0.029,7.8,18.1,0.15,1.3,100,"Excellent"
"82","Ireland","Bandonllen, Abisdealy","Lake",2020-02-29,0.0374375,1.4,9.10125,0.025,7.94375,14.41875,0.4214,1.3,100,"Excellent"
"83","Ireland","Bandonllen, Abisdealy","Lake",2020-02-12,0.082333333,2.666666667,11.6841033830144,0.023333333,7.8,16.83333333,1.422,1.3,100,"Excellent"
"84","Ireland","Bandonllen, Abisdealy","Lake",2020-02-08,0.034538462,1.366666667,11.6841033830144,0.021177778,7.88,15.35333333,1.420333333,1.3,100,"Excellent"
"85","Ireland","Bandonllen, Abisdealy","Lake",2020-02-05,0.038,1.6,11.6841033830144,0.03,7.8,10.03333333,1.422,1.3,100,"Excellent"
"86","Ireland","Bandonllen, Abisdealy","Lake",2020-02-25,0.052666667,1.4,8.1420000003,0.042866667,7.693333333,9.466666667,2.732666667,1.3,100,"Excellent"
"87","Ireland","Bandonllen, Abisdealy","Lake",2021-02-18,0.238333333,3.233333333,11.6841033830144,0.107,7.8,7.1,1.422,1.3,91.5507210686745,"Good"
"88","Ireland","Bandonllen, Abisdealy","Lake",2021-02-23,0.045,1.833333333,11.6841033830144,0.09,7.8,14,1.422,1.3,92.2980126089386,"Good"
"89","Ireland","Bandonllen, Abisdealy","Lake",2021-02-11,0.038,2.7,11.6841033830144,0.02,7.8,17.5,1.422,1.3,100,"Excellent"
"90","Ireland","Bandonllen, Abisdealy","Lake",2021-02-08,0.038,1.4,7.83,0.025,7.8,17.15,1.422,1.3,100,"Excellent"
"91","Ireland","Bandonllen, Abisdealy","Lake",2021-02-20,0.143666667,3.133333333,11.6841033830144,0.147,7.8,13.16666667,1.422,1.3,89.4709079302248,"Good"
"92","Ireland","Bandonllen, Abisdealy","Lake",2022-02-02,0.0315,1.166666667,11.6841033830144,0.026666667,7.8,8.433333333,1.422,1.3,100,"Excellent"
"93","Ireland","Bandonllen, Abisdealy","Lake",2022-02-10,0.037714286,1.4,11.6841033830144,0.024888889,7.905555556,8.777777778,1.413888889,1.3,100,"Excellent"
"94","Ireland","Bandonllen, Abisdealy","Lake",2022-02-24,0.097142857,2.1,9.533999997,0.04854,8.126666667,12.87333333,1.0052,1.3,100,"Excellent"
"95","Ireland","Bandonllen, Abisdealy","Lake",2022-02-08,0.022,1.8,11.6841033830144,0.04,7.8,15.73333333,1.422,1.3,100,"Excellent"
"96","Ireland","Bandonllen, Abisdealy","Lake",2022-02-12,0.06275,3.5,11.6841033830144,0.0208625,8.08,18.88,0.727666667,1.3,100,"Excellent"
"97","Ireland","Bandonllen, Abisdealy","Lake",2022-02-24,0.022,2.133333333,8.73,0.021666667,7.8,16.53333333,1.422,1.3,100,"Excellent"
"98","Ireland","Bandonllen, Abisdealy","Lake",2022-02-06,0.070235294,1.942857143,11.6841033830144,0.054045455,7.9,16.81818182,0.604533333,1.3,93.1846839649381,"Good"
"99","Ireland","Bandonllen, Abisdealy","Lake",2022-02-26,0.051,1.633333333,11.6841033830144,0.09,7.8,13.36666667,5.045,1.3,92.2980126089386,"Good"
"100","Ireland","Bandonllen, Abisdealy","Lake",2023-02-22,0.034,1.433333333,8.7869999997,0.038,7.8,9.033333333,5.87,1.3,100,"Excellent"
"101","Ireland","Bandonllen, Abisdealy","Lake",2023-02-21,0.18,2.3,8.7990000003,0.02,7.8,18.76666667,5.015,1.3,100,"Excellent"
"102","Ireland","Bandonllen, Abisdealy","Lake",2023-02-11,0.038,1.4,8.343,0.025,7.8,15.8,1.422,1.3,100,"Excellent"
"103","Ireland","Bandonllen, Abisdealy","Lake",2023-02-16,0.028,1.7,11.6841033830144,0.037,7.8,15.56666667,1.422,1.3,100,"Excellent"
"104","Ireland","Bandonllen, Curraghalicky","Lake",2007-02-26,0.038,1.4,4.9725,0.025,7.4,11.15,1.422,1.3,100,"Excellent"
"105","Ireland","Bandonllen, Curraghalicky","Lake",2007-02-17,0.038,1.4,4.2075,0.006,7.5,15,1.422,1.3,100,"Excellent"
"106","Ireland","Bandonllen, Curraghalicky","Lake",2008-02-06,0.038,1.4,6.462,0.006,8.6,14.6,1.422,1.3,93.195427249588,"Good"
"107","Ireland","Bandonllen, Curraghalicky","Lake",2008-02-11,0.038,1.4,11.6841033830144,0.008,7.3,14.7,1.422,1.3,100,"Excellent"
"108","Ireland","Bandonllen, Curraghalicky","Lake",2008-02-14,0.038,1.4,11.6841033830144,0.025,7.1,13.3,1.422,1.3,100,"Excellent"
"109","Ireland","Bandonllen, Curraghalicky","Lake",2009-02-21,0.038,1.4,11.6841033830144,0.015,7.1,5.7,1.422,1.3,100,"Excellent"
"110","Ireland","Bandonllen, Curraghalicky","Lake",2009-02-14,0.038,1.4,5.184,0.006,7.5,11.2,1.422,1.3,100,"Excellent"
"111","Ireland","Bandonllen, Curraghalicky","Lake",2009-02-08,0.038,1.4,11.6841033830144,0.025,7.2,13.8,1.422,1.3,100,"Excellent"
"112","Ireland","Bandonllen, Curraghalicky","Lake",2010-02-19,0.038,1.4,11.6841033830144,0.025,7.5,11.9,1.422,1.3,100,"Excellent"
"113","Ireland","Bandonllen, Curraghalicky","Lake",2010-02-14,0.038,1.4,4.869,0.025,7.3,16.9,1.422,1.3,100,"Excellent"
"114","Ireland","Bandonllen, Curraghalicky","Lake",2010-02-20,0.038,1.4,4.4145,0.017,7.3,11.6,1.422,1.3,100,"Excellent"
"115","Ireland","Bandonllen, Curraghalicky","Lake",2011-02-19,0.038,1.4,4.977,0.025,7.4,10.6,1.422,1.3,100,"Excellent"
"116","Ireland","Bandonllen, Curraghalicky","Lake",2011-02-13,0.038,1.4,5.1705,0.025,7.5,17.9,1.422,1.3,100,"Excellent"
"117","Ireland","Bandonllen, Curraghalicky","Lake",2011-02-16,0.038,1.4,4.779,0.025,7.3,17.5,1.422,1.3,100,"Excellent"
"118","Ireland","Bandonllen, Curraghalicky","Lake",2011-02-12,0.038,1.4,11.6841033830144,0.025,7.4,14.5,1.422,1.3,100,"Excellent"
"119","Ireland","Bandonllen, Curraghalicky","Lake",2012-02-11,0.038,1.4,11.6841033830144,0.025,7.6,9.8,1.422,1.3,100,"Excellent"
"120","Ireland","Bandonllen, Curraghalicky","Lake",2012-02-17,0.038,1.4,5.1345,0.025,7.8,16.5,1.422,1.3,100,"Excellent"
"121","Ireland","Bandonllen, Curraghalicky","Lake",2012-02-21,0.038,1.4,4.338,0.025,7.4,16.8,1.422,1.3,100,"Excellent"
"122","Ireland","Bandonllen, Curraghalicky","Lake",2012-02-16,0.038,1.4,4.8195,0.025,7.7,12.4,1.422,1.3,100,"Excellent"
"123","Ireland","Bandonllen, Curraghalicky","Lake",2013-02-17,0.021,1.4,5.436,0.025,7.6,10.7,1.422,1.2,100,"Excellent"
"124","Ireland","Bandonllen, Curraghalicky","Lake",2013-02-16,0.038,1.4,5.85,0.025,8.2,24,1.422,1.3,100,"Excellent"
"125","Ireland","Bandonllen, Curraghalicky","Lake",2013-02-20,0.019,1.4,5.076,0.025,7.7,21,1.422,0.5,100,"Excellent"
"126","Ireland","Bandonllen, Curraghalicky","Lake",2013-02-15,0.122,1.4,11.6841033830144,0.012,7.4,12.6,1.422,0.4,100,"Excellent"
"127","Ireland","Bandonllen, Curraghalicky","Lake",2014-02-15,0.015,1.4,5.724,0.025,7.7,12.3,1.422,1.3,100,"Excellent"
"128","Ireland","Bandonllen, Curraghalicky","Lake",2014-02-20,0.023,1.4,5.022,0.006,7.8,17.7,1.422,1.3,100,"Excellent"
"129","Ireland","Bandonllen, Curraghalicky","Lake",2014-02-15,0.022,1.4,4.7025,0.006,7.5,13.5,1.422,0.5,100,"Excellent"
"130","Ireland","Bandonllen, Curraghalicky","Lake",2015-02-22,0.017,1.4,5.2245,0.025,7.7,12.8,1.6,1.6,100,"Excellent"
"131","Ireland","Bandonllen, Curraghalicky","Lake",2015-02-22,0.076,1.4,4.7835,0.025,7.5,16.7,0.7,0.7,100,"Excellent"
"132","Ireland","Bandonllen, Curraghalicky","Lake",2015-02-25,0.025,1.4,11.6841033830144,0.025,7.5,16.9,0.9,0.9,100,"Excellent"
"133","Ireland","Bandonllen, Curraghalicky","Lake",2015-02-21,0.12,1.4,4.464,0.025,7.4,12.7,1.5,1.5,100,"Excellent"
"134","Ireland","Bandonllen, Curraghalicky","Lake",2016-02-13,0.038,1.4,5.2875,0.025,7.6,10.5,1.1,1.1,100,"Excellent"
"135","Ireland","Bandonllen, Curraghalicky","Lake",2016-02-20,0.038,1.4,4.9365,0.025,7.6,18.5,0.49,0.49,100,"Excellent"
"136","Ireland","Bandonllen, Curraghalicky","Lake",2016-02-10,0.038,1.4,11.6841033830144,0.025,7.4,19,0.52,0.51,100,"Excellent"
"137","Ireland","Bandonllen, Curraghalicky","Lake",2016-02-19,0.07,1.4,4.482,0.017,7,12.2,1.1,1.1,100,"Excellent"
"138","Ireland","Bandonllen, Curraghalicky","Lake",2017-02-27,0.033,1.4,4.995,0.025,7.5,12.3,1.4,1.4,100,"Excellent"
"139","Ireland","Bandonllen, Curraghalicky","Lake",2017-02-19,0.038,1.4,5.1525,0.025,7.6,19,1.4,1.4,100,"Excellent"
"140","Ireland","Bandonllen, Curraghalicky","Lake",2017-02-17,0.024,1.4,11.6841033830144,0.025,7.3,18.1,0.79,0.79,100,"Excellent"
"141","Ireland","Bandonllen, Curraghalicky","Lake",2017-02-18,0.087,1.4,11.6841033830144,0.026,7.1,13.3,1.6,1.6,100,"Excellent"
"142","Ireland","Bandonllen, Curraghalicky","Lake",2018-02-25,0.038,1.4,5.0265,0.025,7,11.3,1.7,1.7,100,"Excellent"
"143","Ireland","Bandonllen, Curraghalicky","Lake",2018-02-19,0.026,1.4,11.6841033830144,0.025,7.6,20.1,0.64,0.63,100,"Excellent"
"144","Ireland","Bandonllen, Curraghalicky","Lake",2018-02-15,0.036,1.4,4.7205,0.025,7.6,18.4,0.41,0.41,100,"Excellent"
"145","Ireland","Bandonllen, Curraghalicky","Lake",2018-02-17,0.025,1.4,11.6841033830144,0.025,7.4,13.2,0.84,0.83,100,"Excellent"
"146","Ireland","Bandonllen, Curraghalicky","Lake",2019-02-24,0.038,1.4,11.6841033830144,0.025,7,13.7,2.3,2.3,100,"Excellent"
"147","Ireland","Bandonllen, Curraghalicky","Lake",2019-02-17,0.038,1.4,4.959,0.025,7.5,19.1,0.92,0.91,100,"Excellent"
"148","Ireland","Bandonllen, Curraghalicky","Lake",2019-02-15,0.038,1.4,6.0525,0.025,7.6,18.2,0.55,0.55,100,"Excellent"
"149","Ireland","Bandonllen, Curraghalicky","Lake",2019-02-15,0.066,1.4,11.6841033830144,0.01,7,12.8,1.8,1.8,100,"Excellent"
"150","Ireland","Bandonllen, Curraghalicky","Lake",2020-02-15,0.038,1.4,11.6841033830144,0.025,7.7,17,0.72,0.71,100,"Excellent"
"151","Ireland","Bandonllen, Curraghalicky","Lake",2020-02-13,0.038,1.4,11.6841033830144,0.025,7.9,20.8,0.99,0.99,100,"Excellent"
"152","Ireland","Bandonllen, Curraghalicky","Lake",2020-02-14,0.038,1.4,4.626,0.025,7.1,12.8,1.1,1.1,100,"Excellent"
"153","Ireland","Bandonllen, Curraghalicky","Lake",2021-02-22,0.024,1.4,11.6841033830144,0.025,7.3,12.8,0.96,0.96,100,"Excellent"
"154","Ireland","Bandonllen, Curraghalicky","Lake",2021-02-15,0.038,1.4,5.1975,0.025,7.7,19.5,0.42,0.41,100,"Excellent"
"155","Ireland","Bandonllen, Curraghalicky","Lake",2021-02-12,0.028,1.4,11.6841033830144,0.025,7.3,17.1,0.28,0.27,100,"Excellent"
"156","Ireland","Bandonllen, Curraghalicky","Lake",2021-02-28,0.021,1.4,11.6841033830144,0.026,6.7,13.2,0.91,0.9,100,"Excellent"
"157","Ireland","Bandonllen, Curraghalicky","Lake",2022-02-21,0.021,1.4,11.6841033830144,0.025,7.5,12,1.6,1.6,100,"Excellent"
"158","Ireland","Bandonllen, Curraghalicky","Lake",2022-02-21,0.078,1.4,5.2965,0.025,7.6,20.5,1.422,1.3,100,"Excellent"
"159","Ireland","Bandonllen, Curraghalicky","Lake",2022-02-10,0.038,1.4,5.184,0.025,7.4,22.7,0.29,0.28,100,"Excellent"
"160","Ireland","Bandonllen, Curraghalicky","Lake",2022-02-12,0.041,1.4,4.689,0.025,6.9,16.3,0.55,0.55,100,"Excellent"
"161","Ireland","Bandonllen, Curraghalicky","Lake",2023-02-20,0.038,1.4,5.022,0.025,7.2,12.5,1.8,1.3,100,"Excellent"
"162","Ireland","Bandonllen, Curraghalicky","Lake",2023-02-19,0.038,1.4,5.265,0.025,7.8,18.7,0.52,1.3,100,"Excellent"
"163","Ireland","Bandonllen, Curraghalicky","Lake",2023-02-10,0.038,1.4,11.6841033830144,0.025,7.6,18.8,0.66,1.3,100,"Excellent"
"164","Ireland","Bandonllen, Glandore Harbour","Lake",2012-02-29,0.027,1.4,10.28,0.007,8.3,11.15,1.422,0.054,100,"Excellent"
"165","Ireland","Bandonllen, Glandore Harbour","Lake",2016-02-04,0.082,4.4,11.6841033830144,0.016,8,12.8,0.087,1.3,100,"Excellent"
"166","Ireland","Bandonllen, Glandore Harbour","Lake",2016-02-17,0.048,2.2,9.5625,0.022,8.2,17.8,0.0365,1.3,100,"Excellent"
"167","Ireland","Bandonllen, Glandore Harbour","Lake",2017-02-03,0.0365,1.6,9,0.0035,8.1,13.85,0.1085,1.3,100,"Excellent"
"168","Ireland","Bandonllen, Glandore Harbour","Lake",2017-02-02,0.041,1.3,11.6841033830144,0.01,8.15,15.4,0.02,1.3,100,"Excellent"
"169","Ireland","Bandonllen, Glandore Harbour","Lake",2018-02-02,0.016,3.85,11.6841033830144,0.001,8.15,11.1,1.422,1.3,100,"Excellent"
"170","Ireland","Bandonllen, Glandore Harbour","Lake",2018-02-13,0.038,2.15,9.369,0.025,8.1,16.85,0.08,1.3,100,"Excellent"
"171","Ireland","Bandonllen, Glandore Harbour","Lake",2018-02-04,0.145,1.4,9.126,0.025,8.2,19.85,1.422,1.3,100,"Excellent"
"172","Ireland","Bandonllen, Glandore Harbour","Lake",2018-02-01,0.04,1.15,8.883,0.01,8.1,15.25,1.422,1.3,100,"Excellent"
"173","Ireland","Bandonllen, Glandore Harbour","Lake",2019-02-08,0.038,1.4,9.018,0.025,8,12.15,0.105,1.3,100,"Excellent"
"174","Ireland","Bandonllen, Glandore Harbour","Lake",2019-02-19,0.038,1.55,9.369,0.025,8.05,15.95,1.422,1.3,100,"Excellent"
"175","Ireland","Bandonllen, Glandore Harbour","Lake",2019-02-10,0.038,2.7,11.6841033830144,0.01,8.2,17.3,1.422,1.3,100,"Excellent"
"176","Ireland","Bandonllen, Glandore Harbour","Lake",2019-02-07,0.14,1.1,8.9955,0.045,8.1,16.5,1.422,1.3,100,"Excellent"
